cake,gâteau
the cake,le gâteau
coffee,café
the coffee,le café
I want,je veux
you want,tu veux
the (masculine) / it,le
the (feminine) / it,la
I want it,je le veux
collection,collection
organisation,organisation
tradition,tradition
attraction,attraction
confirmation,confirmation
reservation,réservation
complication,complication
opinion,opinion
the opinion,l'opinion
passion,passion
to confirm,confirmer
celebration,célébration
to celebrate,célébrer
a little / a bit,un peu
participation,participation
to participate / to get involved,participer
to visit,visiter
to reserve,réserver
thing,chose
some,quelque
something,quelque chose
to recommend,recommander
to order (e.g. in a restaurant),commander
I can / I am able,je peux
you can,tu peux
can you? (inversion),peux-tu?
do you want? (inversion),veux-tu?
to explore,explorer
to close,fermer
the door,la porte
to ask / to demand,demander
to reprimand,réprimander
the hand,la main
of / from,de
to complicate,compliquer
to explain,expliquer
to duplicate,dupliquer
to fold,plier
trousers / pants,pantalon
late,tard
later,plus tard
more,plus
to lock,fermer à clé
key,clé
see you later,à plus tard
I must / I have to / I owe,je dois
you must / you owe,tu dois
to repair,réparer
repair / reparation,réparation
thirty,trente
euros,euros
to compare,comparer
to prepare,préparer
the car,la voiture
machine,machine
the machine,la machine
the train,le train
the bus,le bus
the visit,la visite
to conserve,conserver
to contemplate,contempler
now,maintenant
on time,à temps
time,temps
dice,dé
baguette / rod / wand,baguette
the baguette,la baguette
cigarette,cigarette
the cigarette,la cigarette
bicycle,bicyclette
the bicycle,la bicyclette
to organise,organiser
I want to repair it,je veux le réparer
dinner,dîner
supper,souper
