the party,la fête
party,fête
to provoke,provoquer
just,juste
to invoke,invoquer
to revoke,révoquer
to see,voir
me,me
to invite,inviter
a / one (masculine),un
a / one (feminine),une
black,noir
the black coffee,le café noir
introduction,introduction
presentation,présentation
to present / to introduce,présenter
two,deux
three,trois
she,elle
she must,elle doit
she wants,elle veut
to the party,à la fête
birthday party,fête d'anniversaire
anniversary / birthday,anniversaire
necessary,nécessaire
contrary / opposite,contraire
solitary / alone,solitaire
she can,elle peut
he,il
he wants,il veut
the mobile phone,le portable
you (object) / yourself,te
I have to get ready,je dois me préparer
to relax,relaxer
probable,probable
comfortable,confortable
the table,la table
adorable,adorable
to adore,adorer
to separate,séparer
to carry / to wear,porter
the beard,la barbe
to export,exporter
to import,importer
to take away,emporter
to transport,transporter
to bear / to tolerate / to put up with,supporter
to behave,se comporter
well,bien
opportunity,opportunité
possibility,possibilité
the possibility,la possibilité
necessity,nécessité
to seize,saisir
everybody,tout le monde
all,tout
the world,le monde
my,mon
friend,ami
my friend,mon ami
your,ton
your friend,ton ami
them,les
to finish,finir
to wait (for),attendre
I want to wait for him,je veux l'attendre
can I? (inversion),puis-je?
