kitchen,cocina
to cook,cocinar
I cook,cocino
at six o'clock,a las seis
six,seis
eight,ocho
nine,nueve
ten,diez
to remain / to be left over,quedar
I remain,quedo
I stay (lit. I remain myself),me quedo
until,hasta
see you (lit. until the view),hasta la vista
to stay (lit. to remain myself),quedarme
seven,siete
September,septiembre
to owe / must,deber
we owe / we must,debemos
we can,podemos
to call / to phone,llamar
I call,llamo
my name is (lit. I call myself),me llamo
you call yourself,te llamas
how,cómo
what's your name?,¿cómo te llamas?
a / an (masculine),un
a / an (feminine),una
camera,cámara
car,coche
car,carro
car,auto
automobile,automóvil
machine / car,máquina
big,grande
the (masculine),el
the (masculine plural),los
the (feminine plural),las
in / on,en
red,rojo
they/you (plural) are,son
expensive,caro
teacher / professor (male),profesor
teacher / professor (female),profesora
doctor,doctor
doctor (female),doctora
money,dinero
money (lit. silver),plata
"money (slang, Spain); pasta",pasta
addictive,adictivo
positive,positivo
intuitive,intuitivo
attractive,atractivo
creative,creativo
aggressive,agresivo
negative,negativo
intensive,intensivo
native,nativo
very,muy
to be (characteristics),ser
human being,ser humano
human,humano
humanity,humanidad
to be (states),estar
I am,estoy
"he/she/it is, you (formal) are",está
they/you (plural) are,están
you (informal) are,estás
we are,estamos
tired,cansado
I am tired,estoy cansado
how are you? (informal),¿cómo estás?
how are you? (formal),¿cómo está?
where are you?,¿dónde estás?
"he/she/it must, must be (probability)",debe
they must,deben
because,porque
Spanish,español
Spain,España
student,estudiante
special,especial
spatial,espacial
strict,estricto
spectacular,espectacular
I am,soy
we are,somos
you (informal) are,eres
the human,el humano
what's he/she like?,¿cómo es?
boring / bored,aburrido
from / of,de
free,libre
to liberate,liberar
married,casado
busy / occupied,ocupado
worried,preocupado
from where,de dónde
where are you from?,¿de dónde eres?
a free person,una persona libre
ready (estar) / smart (ser),listo
so,tan
happy,feliz
happiness,felicidad
Merry Christmas,feliz navidad
Christmas,navidad
he's attractive / in good form,está bueno
to have breakfast,desayunar
breakfast; I have breakfast,desayuno
speaking,hablando
I am speaking (right now),estoy hablando
eating,comiendo
preparing,preparando
-ing (for -ar verbs),-ando
-ing (for -er/-ir verbs),-iendo
being,siendo
I am being sincere,estoy siendo sincero
honest,honesto
