to recommend,recomendar
I will eat,comeré
I will go,iré
"he/she will go, you (formal) will go",irá
it will be,será
I will be,estaré
I will give,daré
to him / to her / to you (formal),le
to them / to you (plural),les
I realize,me doy cuenta
to realize,darse cuenta
account / bill,cuenta
do you realize?,¿te das cuenta?
I have spoken to him,le he hablado
himself / herself / itself / themselves / oneself,se
he/she stays,se queda
they stay,se quedan
to stay,quedarse
he/she wants to stay,quiere quedarse
he/she realizes,se da cuenta
for,para
for me,para mí
for you (informal),para ti
me (after preposition),mí
you (after preposition),ti
from me,de mí
from you (informal),de ti
favor,favor
a favor,un favor
he does me a favor,me hace un favor
to say / to tell,decir
I mean / I want to say,quiero decir
I buy (for) him,le compro
I buy (for) them,les compro
to fall in love,enamorarse
to fall in love with,enamorarse de
I fall in love with you,me enamoro de ti
to think about,pensar en
I think about you,pienso en ti
to dream,soñar
I dream; dream,sueño
to dream about,soñar con
the letter ñ (ny sound),ñ
with me,conmigo
with you (informal),contigo
to depend,depender
to depend on,depender de
to dance,bailar
dancer,bailarín
I will dance,bailaré
would (conditional ending),-ía
I would dance,bailaría
to transform,transformar
it gets transformed,se transforma
it gets contaminated,se contamina
I imagine,me imagino
that,que
to like (lit. to be pleasing),gustar
I like it (it pleases me),me gusta
I like them,me gustan
I would like,me gustaría
I/he/she could,podría
my,mi
my house,mi casa
I/he/she would have,habría
I would have gone,habría ido
gone (participle),ido
eaten (participle),comido
been able (participle),podido
I would have liked it,me habría gustado
I/he/she should,debería
you should,deberías
we should,deberíamos
paradigm,paradigma
outline / scheme / diagram,esquema
diagram,diagrama
planet,planeta
this (masculine),este
this (feminine),esta
that (masculine),ese
that (feminine),esa
these (masculine),estos
those (masculine),esos
these (feminine),estas
those (feminine),esas
hand,mano
to manage / to handle / to drive,manejar
photo,foto
photograph,fotografía
motorbike,moto
to take out / to take (a photo),sacar
to give a hand,dar una mano
he/she likes it,le gusta
they like it,les gusta
to interest / to be interesting to,interesar
it interests me,me interesa
interesting,interesante
to seem,parecer
it seems to me,me parece
it seems to me that,me parece que
it seems fine to me,me parece bien
salt,sal
to put salt on it,ponerle sal
a little,un poco
fries / chips,papas fritas
